,,LEVEL,Beginner,Advancer,Master
13/VIS,,,3,6,8
BOUNCE THE TECH,,,3,7,11.3
Electric Milkyway,,,6,9,11.9
Fractal,,,3,7,10.1
Lemuria,,,5,8,13.9
VEZZELⅨ,,,5,7,12
STAGER,,,5,7,9.7
DDD,,,3,7,10.6
Quod Erat Demonstrandum,,,6,8,10.4
Scaffold,,,4,6,9
NeutrØn Reaper,,,4,8,12.4
Rebirth of the MYTH,,,5,8,11.3
wholeheartedly,,,4,6,11.5
Can't it be true,,,2,5,8
Time Dilation,,,2,4,6
Two Phace,,,3,6,8
Megastracture,,,4,8,12.9
Halcyon,,,4,8,12.4
IndicatoЯ,,,3,9,12.6
MASAMUNE,,,3,6,10.6
ヒュブリスの頂に聳えるのは,,,7.7,12.7,14
Beyond,,,6.8,10.6,14.6
splash the Beat!!,,,5,8,12.8
dizzolve,,,5,10,12.9
NightTheater,,,5,9,12.5
